shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10107,39.529377,-119.811287,220007
10107,39.529523,-119.811338,220008
10107,39.529630,-119.811370,220009
10107,39.529891,-119.810064,220010
10107,39.530004,-119.810099,220011
10107,39.530170,-119.810155,220012
10107,39.530259,-119.810186,220013
10107,39.530025,-119.811416,220014
10108,39.472018,-119.783004,10001
10108,39.471531,-119.782768,10002
10108,39.471530,-119.782865,10003
10108,39.471535,-119.784320,10004
10108,39.471516,-119.784769,10005
10108,39.471498,-119.785169,10006
10108,39.471461,-119.785363,10007
10108,39.471199,-119.786298,10008
10108,39.471808,-119.786593,10009
10108,39.471808,-119.786593,20001
10108,39.472163,-119.786764,20002
10108,39.474007,-119.787657,20003
10108,39.474275,-119.787778,20004
10108,39.474573,-119.787907,20005
10108,39.474689,-119.787965,20006
10108,39.474689,-119.787965,30001
10108,39.475307,-119.788267,30002
10108,39.476742,-119.788947,30003
10108,39.476851,-119.789006,30004
10108,39.477007,-119.789090,30005
10108,39.477594,-119.789380,30006
10108,39.477897,-119.789524,30007
10108,39.478607,-119.789865,30008
10108,39.478762,-119.789935,30009
10108,39.478954,-119.790027,30010
10108,39.479184,-119.790141,30011
10108,39.479446,-119.790266,30012
10108,39.480128,-119.790597,30013
10108,39.480128,-119.790597,40001
10108,39.480386,-119.790722,40002
10108,39.480779,-119.790909,40003
10108,39.481090,-119.791081,40004
10108,39.481831,-119.791430,40005
10108,39.481910,-119.791474,40006
10108,39.482170,-119.791592,40007
10108,39.482241,-119.791625,40008
10108,39.482301,-119.791655,40009
10108,39.482798,-119.791879,40010
10108,39.484060,-119.792489,40011
10108,39.484961,-119.792930,40012
10108,39.484961,-119.792930,50001
10108,39.485104,-119.793000,50002
10108,39.485737,-119.793351,50003
10108,39.487949,-119.794459,50004
10108,39.488047,-119.794557,50005
10108,39.490143,-119.795597,50006
10108,39.490143,-119.795597,60001
10108,39.491265,-119.796154,60002
10108,39.491562,-119.796301,60003
10108,39.492193,-119.796634,60004
10108,39.493135,-119.797133,60005
10108,39.493662,-119.797383,60006
10108,39.493792,-119.797442,60007
10108,39.493792,-119.797442,70001
10108,39.494580,-119.797803,70002
10108,39.494752,-119.797887,70003
10108,39.495611,-119.798267,70004
10108,39.497435,-119.799135,70005
10108,39.497650,-119.799242,70006
10108,39.497650,-119.799242,80001
10108,39.498564,-119.799693,80002
10108,39.498861,-119.799847,80003
10108,39.499757,-119.800306,80004
10108,39.500623,-119.800743,80005
10108,39.500770,-119.800823,80006
10108,39.501461,-119.801169,80007
10108,39.501570,-119.801222,80008
10108,39.501570,-119.801222,90001
10108,39.501852,-119.801360,90002
10108,39.502633,-119.801738,90003
10108,39.503018,-119.801921,90004
10108,39.503018,-119.801921,100001
10108,39.504685,-119.802710,100002
10108,39.505747,-119.803228,100003
10108,39.506160,-119.803420,100004
10108,39.506700,-119.803684,100005
10108,39.507001,-119.803835,100006
10108,39.507001,-119.803835,110001
10108,39.507353,-119.804011,110002
10108,39.507897,-119.804272,110003
10108,39.508427,-119.804530,110004
10108,39.509202,-119.804902,110005
10108,39.509202,-119.804902,120001
10108,39.509760,-119.805170,120002
10108,39.510760,-119.805652,120003
10108,39.511625,-119.806071,120004
10108,39.511625,-119.806071,130001
10108,39.511694,-119.806104,130002
10108,39.512628,-119.806531,130003
10108,39.512888,-119.806671,130004
10108,39.513177,-119.806811,130005
10108,39.513177,-119.806811,140001
10108,39.514770,-119.807586,140002
10108,39.514813,-119.807608,140003
10108,39.515071,-119.807734,140004
10108,39.515071,-119.807734,150001
10108,39.515461,-119.807925,150002
10108,39.516359,-119.808367,150003
10108,39.516359,-119.808367,160001
10108,39.516387,-119.808380,160002
10108,39.516523,-119.808447,160003
10108,39.517020,-119.808686,160004
10108,39.517706,-119.809027,160005
10108,39.518296,-119.809314,160006
10108,39.518703,-119.809515,160007
10108,39.518703,-119.809515,170001
10108,39.518886,-119.809605,170002
10108,39.519932,-119.810116,170003
10108,39.520119,-119.810210,170004
10108,39.520119,-119.810210,180001
10108,39.520413,-119.810358,180002
10108,39.520912,-119.810601,180003
10108,39.521475,-119.810876,180004
10108,39.521475,-119.810876,190001
10108,39.521694,-119.810983,190002
10108,39.521808,-119.811060,190003
10108,39.521900,-119.811164,190004
10108,39.522241,-119.809883,190005
10108,39.522736,-119.810136,190006
10108,39.522736,-119.810136,200001
10108,39.522904,-119.810221,200002
10108,39.523628,-119.810564,200003
10108,39.524169,-119.810789,200004
10108,39.524387,-119.810882,200005
10108,39.524387,-119.810882,210001
10108,39.524708,-119.811019,210002
10108,39.525123,-119.811193,210003
10108,39.525473,-119.811351,210004
10108,39.525724,-119.811476,210005
10108,39.525732,-119.811476,210006
10108,39.526159,-119.811647,210007
10108,39.526419,-119.811734,210008
10108,39.526419,-119.811734,220001
10108,39.527174,-119.811987,220002
10108,39.528414,-119.812371,220003
10108,39.528643,-119.811180,220004
10108,39.528660,-119.811131,220005
10108,39.528685,-119.811078,220006
10108,39.529377,-119.811287,220007
10108,39.529523,-119.811338,220008
10108,39.529630,-119.811370,220009
10108,39.529684,-119.811101,220010
10109,39.529684,-119.811101,10001
10109,39.529891,-119.810064,10002
10109,39.529786,-119.810034,10003
10109,39.529669,-119.809994,10004
10109,39.529462,-119.811089,10005
10109,39.529377,-119.811287,10006
10109,39.528685,-119.811078,10007
10109,39.527856,-119.810805,10008
10109,39.527427,-119.810677,10009
10109,39.527230,-119.810609,10010
10109,39.527230,-119.810609,20001
10109,39.526573,-119.810382,20002
10109,39.526475,-119.810341,20003
10109,39.526456,-119.810331,20004
10109,39.526456,-119.810331,30001
10109,39.526393,-119.810297,30002
10109,39.526319,-119.810246,30003
10109,39.526281,-119.810213,30004
10109,39.525723,-119.809796,30005
10109,39.525614,-119.809723,30006
10109,39.525567,-119.809697,30007
10109,39.525491,-119.809661,30008
10109,39.525422,-119.809635,30009
10109,39.525103,-119.809484,30010
10109,39.524556,-119.809254,30011
10109,39.524348,-119.809162,30012
10109,39.524275,-119.809143,30013
