stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1559,,"Robb Drive and Mae Anne Avenue",,  39.528893,-119.881958,,,0,
156,,"Robb Drive at North West Library",,  39.538567,-119.884651,,,0,
1560,,"N McCarran Boulevard and Las Brisas Boulevard",,  39.539890,-119.861923,,,0,
1561,,"Kings Row and King James Court",,  39.536625,-119.837112,,,0,
1562,,"Kings Row and Majestic Drive",,  39.535965,-119.833313,,,0,
1563,,"Keystone Avenue and University Terrace",,  39.531876,-119.831291,,,0,
1564,,"Kirman Avenue and Aitken Street",,  39.526264,-119.798454,,,0,
1565,,"Kirman Avenue and Curti Drive",,  39.523136,-119.798332,,,0,
1566,,"Wrondel Way at Grove Garden Apartments",,  39.501942,-119.796196,,,0,
1567,,"E Grove Street and Yori Avenue",,  39.500843,-119.793747,,,0,
1568,,"E Grove Street and Kietzke Lane",,  39.500797,-119.790436,,,0,
157,,"Robb Drive at McQueen High School",,  39.534538,-119.881996,,,0,
1571,,"Locust Street and Colorado River Boulevard",,  39.508072,-119.800453,,,0,
1572,,"Ryland Street and Locust Street",,  39.523846,-119.799950,,,0,
1573,,"Kirman Avenue and Aitken Street",,  39.526665,-119.798279,,,0,
1574,,"Kirman Avenue and Kuenzli Street",,  39.528091,-119.798241,,,0,
1579,,"Sutro Street and E 4th Street",,  39.532223,-119.798004,,,0,
158,,"Robb Drive and Glen Aulin Way",,  39.531769,-119.882080,,,0,
1581,,"W 7th Street and N McCarran Boulevard",,  39.536716,-119.865005,,,0,
1582,,"N Arlington Avenue and W 4th Street",,  39.528881,-119.818214,,,0,
1584,,"Highland Avenue and Beech Street",,  39.540112,-119.809761,,,0,
159,,"Mae Anne Avenue and Grand Point Way",,  39.529617,-119.878937,,,0,
1596,,"Silverada Boulevard and Carville Drive",,  39.542473,-119.783966,,,0,
1598,,"W 4th Street at Keystone Square",,  39.526009,-119.828987,,,0,
160,,"Mae Anne Avenue and Shadow Park Drive",,  39.530418,-119.876450,,,0,
1601,,"Meadowood Mall Circle and S Virginia Street",,  39.471298,-119.785530,,,0,
1608,,"S McCarran Boulevard at Monte Vista Village",,  39.515102,-119.859940,,,0,
1609,,"El Rancho Drive and Moore Park Court",,  39.567566,-119.778290,,,0,
161,,"Mae Anne Avenue and Quail Run Road",,  39.533401,-119.872093,,,0,
1610,,"Grand Sierra Resort at Sportsbook",,  39.524738,-119.780876,,,0,
1611,,"Grand Sierra Resort at Employee Entrance",,  39.525829,-119.778870,,,0,
1612,,"Corporate Boulevard and Capital Boulevard",,  39.505791,-119.751846,,,0,
1613,,"Rock Boulevard and Prospect Avenue",,  39.546993,-119.762093,,,0,
1614,,"Merchant Street and Sullivan Lane",,  39.544559,-119.769806,,,0,
1615,,"W 5th Street and Bell Street",,  39.529766,-119.822067,,,0,
162,,"Mae Anne Avenue and Sierra Highlands Drive",,  39.533432,-119.867516,,,0,
1627,,"Kietzke Lane and E Plumb Lane",,  39.504131,-119.788902,,,0,
1629,,"E 6th Street and Record Street",,  39.533676,-119.809326,,,0,
163,,"N McCarran Boulevard and W 7th Street",,  39.537136,-119.864281,,,0,
1630,,"S McCarran Boulevard and Kietzke Lane",,  39.476662,-119.792671,,,0,
1633,,"S Virginia Street and E Patriot Boulevard",,  39.453545,-119.777939,,,0,
1636,,"South Meadows Parkway and S Virginia Street",,  39.439445,-119.768806,,,0,
1637,,"South Meadows Parkway and Gateway Drive",,  39.438244,-119.760864,,,0,
1638,,"Double R Boulevard at Renown",,  39.435444,-119.758247,,,0,
1639,,"Double R Boulevard and Professional Circle",,  39.433346,-119.756889,,,0,
164,,"N McCarran Boulevard and Kings Row",,  39.542065,-119.856842,,,0,
1640,,"Double R Boulevard and Professional Circle",,  39.432148,-119.755783,,,0,
1641,,"Double R Boulevard at Dentistry Kids",,  39.430393,-119.753632,,,0,
1642,,"Double R Boulevard at Legacy Wealth",,  39.428474,-119.752289,,,0,
1643,,"Double R Boulevard and Double Diamond Parkway",,  39.426037,-119.751068,,,0,
1644,,"Damonte Ranch Parkway and Old Virginia Road",,  39.420006,-119.754318,,,0,
1645,,"S Virginia Street and Damonte Ranch Parkway",,  39.421928,-119.758286,,,0,
1646,,"S Virginia Street at Winco Entrance",,  39.441284,-119.770920,,,0,
1647,,"S Virginia Street and E Patriot Boulevard",,  39.452873,-119.777252,,,0,
165,,"W 7th Street and Nancy Circle",,  39.530605,-119.854797,,,0,
1650,,"Campus Way at NV Energy",,  39.467697,-119.781708,,,0,
1651,,"Sierra Center Parkway and Campus Way",,  39.465755,-119.780258,,,0,
1652,,"Sierra Center Parkway at Sierra Town Center",,  39.464378,-119.777985,,,0,
1653,,"Sierra Center Parkway and Maestro Drive",,  39.461983,-119.776886,,,0,
1654,,"Colbert Drive and E Patriot Boulevard",,  39.460224,-119.776726,,,0,
1655,,"Sierra Center Parkway and Longley Lane",,  39.458946,-119.775070,,,0,
1656,,"Colbert Drive and E Patriot Boulevard",,  39.460030,-119.776512,,,0,
1657,,"Sierra Center Parkway and Maestro Drive",,  39.462360,-119.776802,,,0,
1658,,"Sierra Center Parkway at Intuit Entrance",,  39.464714,-119.777946,,,0,
1659,,"Campus Way and Neil Road",,  39.467678,-119.781563,,,0,
166,,"Kings Row and Marne Drive",,  39.538403,-119.854103,,,0,
1660,,"Highland Avenue and Evans Avenue",,  39.539707,-119.811356,,,0,
1661,,"Highland Avenue and Beech Street",,  39.540039,-119.809525,,,0,
1662,,"Valley Road and Denslowe Drive",,  39.544422,-119.807793,,,0,
1663,,"Valley Road and Soaring Eagle Drive",,  39.545860,-119.807877,,,0,
1664,,"Valley Road and Hood Avenue",,  39.548801,-119.807869,,,0,
